ns,page,sender,recipients,cardinality,timestamp
3,User talk:Ricky81682,Ricky81682,Auntof6,1,"02:36, 25 March 2018 (UTC)"
3,User talk:Ricky81682,Ricky81682,Auntof6,1,"04:10, 2 April 2018 (UTC)"
3,User talk:Ricky81682,Ricky81682,Auntof6,1,"07:00, 4 May 2018 (UTC)"
3,User talk:Ricky81682,Ricky81682,Auntof6,1,"00:47, 2 July 2018 (UTC)"
3,User talk:Ricky81682,Ricky81682,Angela|September 1988,2,"01:15, 5 July 2018 (UTC)"
3,User talk:Ricky81682,Ricky81682,Auntof6,1,"08:45, 15 September 2018 (UTC)"
1,Talk:Tomato,Brya,Til Eulenspiegel,1,"15:56, 30 September 2017 (UTC)"
4,Wikipedia:Proposed very good articles,Grnrchst,EasternShah,1,"13:48, 19 June 2026 (UTC)"
1,Talk:Middle Ages,Richard Nevell,ZillennialMedievalist,1,"18:04, 9 December 2020 (UTC)"
1,Talk:Middle Ages,Richard Nevell,ZillennialMedievalist,1,"18:05, 9 December 2020 (UTC)"
1,Talk:Profanity,Auntof6,Brandon5015,1,"06:12, 17 September 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,Eptalon,1,"19:22, 23 October 2017 (UTC)"
3,User talk:Deborahjay,Eptalon,Auntof6,1,"19:15, 23 October 2017 (UTC)"
3,User talk:Deborahjay,Deborahjay,Peterdownunder,1,"16:48, 27 November 2017 (UTC)"
3,User talk:Deborahjay,Deborahjay,Auntof6,1,"18:34, 12 December 2017 (UTC)"
3,User talk:Deborahjay,Auntof6,Ladchad (wiki),1,"18:29, 26 December 2017 (UTC)"
3,User talk:Deborahjay,Deborahjay,Life(wik)|Wiki Back,2,"12:00, 28 December 2017 (UTC)"
3,User talk:Deborahjay,Deborahjay,Auntof6,1,"10:20, 29 December 2017 (UTC)"
3,User talk:Deborahjay,Deborahjay,Macdonald-ross,1,"12:23, 14 February 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,September 1988,1,"12:38, 6 March 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,Auntof6,1,"15:38, 6 November 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,Auntof6,1,"21:35, 16 November 2018 (UTC)"
3,User talk:Deborahjay,Mr Spear,Auntof6,1,"12:09, 18 November 2018 (UTC)"
3,User talk:Deborahjay,Auntof6,Mr Spear,1,"13:41, 18 November 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,Ricky81682,1,"09:38, 23 November 2018 (UTC)"
3,User talk:Deborahjay,Deborahjay,September 1988,1,"16:57, 13 December 2018 (UTC)"
3,User talk:Deborahjay,Haoreima,Deborahjay,1,"17:26, 23 March 2021 (UTC)"
3,User talk:Deborahjay,Deborahjay,Haoreima,1,"18:12, 23 March 2021 (UTC)"
3,User talk:Deborahjay,Belwine,2601:640:4000:3170:61D4:F79C:CC39:7BBC,1,"18:31, 4 April 2021 (UTC)"
3,User talk:CommonsDelinker,RiggedMint,Wiki Edit By Shifat,1,"18:23, 23 October 2023 (UTC)"
1,Talk:Operating system,ImprovedWikiImprovment,Auntof6|Green,2,"16:35, 13 July 2020 (UTC)"
1,Talk:Anna Kournikova,GPinkerton,The Rambling Man,1,"03:08, 20 May 2021 (UTC)"
5,Wikipedia talk:Criteria for adminship,Auntof6,Psl631,1,"07:41, 27 April 2018 (UTC)"
5,Wikipedia talk:Criteria for adminship,Auntof6,Vermont,1,"05:18, 21 January 2019 (UTC)"
1,Talk:Geisha,Thegooduser,Albacore,1,"23:31, 15 October 2020 (UTC)"
1,Talk:Sexual orientation,Sxologist,Eptalon,1,"01:32, 10 December 2020 (UTC)"
3,User talk:Blissyu2,Ferien,Blissyu2,1,"17:15, 19 June 2023 (UTC)"
3,User talk:Blissyu2,Ferien,Operator873,1,"20:39, 2 July 2023 (UTC)"
3,User talk:Blissyu2,Operator873,Ferien,1,"20:56, 2 July 2023 (UTC)"
3,User talk:Jmarcano,Auntof6,Gordonrox24,1,"19:41, 26 August 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Auntof6,1,"19:26, 11 February 2016 (UTC)"
3,User talk:Jeff G.,Jeff G.,Auntof6,1,"19:26, 11 February 2016 (UTC)"
3,User talk:Jeff G.,Jeff G.,Auntof6,1,"15:09, 23 February 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Only,1,"15:25, 23 February 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Neotarf,1,"22:21, 26 February 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Prahlad balaji,1,"00:51, 25 March 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,TDKR Chicago 101,1,"06:43, 14 April 2017 (UTC)"
3,User talk:Jeff G.,TDKR Chicago 101,Jeff G.,1,"06:48, 14 April 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Caliburn,1,"02:24, 18 November 2017 (UTC)"
3,User talk:Jeff G.,Jeff G.,Caliburn,1,"07:28, 2 January 2018 (UTC)"
1,Talk:Evolution,Ferien,Macdonald-ross,1,"16:08, 8 January 2023 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"03:00, 5 August 2021 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"19:09, 5 August 2021 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"00:11, 6 August 2021 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"07:31, 8 August 2021 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"23:21, 10 August 2021 (UTC)"
1,Talk:Jimmy Carter,TDKR Chicago 101,Gotanda,1,"07:12, 8 August 2021 (UTC)"
5,Wikipedia talk:Protection policy,Auntof6,Psl631,1,"07:55, 17 March 2018 (UTC)"
5,Wikipedia talk:Protection policy,Psl631,Auntof6,1,"08:02, 17 March 2018 (UTC)"
5,Wikipedia talk:Protection policy,Auntof6,Psl631,1,"08:08, 17 March 2018 (UTC)"
1,Talk:Neptune,Frontfrog,Lallint,1,"17:44, 22 March 2022 (UTC)"
1,Talk:Neptune,ImprovedWikiImprovment,Frontfrog,1,"08:22, 3 March 2023 (UTC)"
1,Talk:Neptune,Frontfrog,Lights and freedom,1,"16:17, 5 March 2023 (UTC)"
1,Talk:Neptune,Lights and freedom,Ferien|Frontfrog,2,"04:16, 27 February 2023 (UTC)"
3,User talk:Huji,Rathfelder,huji,1,"14:57, 16 March 2024 (UTC)"
5,Wikipedia talk:Manual of Style,Computer Fizz,Auntof6,1,"06:55, 25 August 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Auntof6,Computer Fizz,1,"19:51, 6 September 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Computer Fizz,auntof6,1,"20:59, 14 September 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Auntof6,Computer Fizz,1,"04:34, 15 September 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Computer Fizz,Djsasso,1,"16:54, 16 September 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Computer Fizz,Djsasso,1,"03:52, 18 September 2019 (UTC)"
5,Wikipedia talk:Manual of Style,Darkfrog24,Chenzw,1,"14:37, 28 March 2020 (UTC)"
5,Wikipedia talk:Manual of Style,Auntof6,Darkfrog24,1,"03:28, 25 June 2021 (UTC)"
5,Wikipedia talk:Most wanted articles,ImprovedWikiImprovment,Macdonald-ross|Reception123,2,"07:39, 7 June 2020 (UTC)"
5,Wikipedia talk:Categories,Lights and freedom,Auntof6|Eptalon|Fehufanga|Ferien|Macdonald-ross|PotsdamLamb,6,"18:15, 27 June 2022 (UTC)"
5,Wikipedia talk:Categories,Lights and freedom,Auntof6|InfernoGaming46,2,"21:53, 7 January 2023 (UTC)"
1,Talk:Main Page/Sister projects,Fehufanga,Matrix,1,"23:32, 1 November 2024 (UTC)"
4,Wikipedia:Proposed article demotion,TDKR Chicago 101,Ternera,1,"14:55, 12 March 2026 (UTC)"
5,Wikipedia talk:Proposed good articles,Eurodyne,Auntof6,1,"03:30, 6 December 2014 (UTC)"
1,Talk:Turkey,Griffinofwales,Deppiyy|Eptalon|MathXplore|Nalanidil,4,"08:32, 9 March 2022 (UTC)"
1,Talk:Christian Church,Veverve,Amandajm,1,"17:41, 3 July 2021 (UTC)"
1,Talk:Nihilism,Oeqtte,Macdonald-ross,1,"12:02, 20 January 2021 (UTC)"
1,Talk:Odysseus,Haoreima,Auntof6,1,"07:30, 1 August 2021 (UTC)"
1,Talk:Odysseus,Haoreima,Auntof6,1,"07:32, 1 August 2021 (UTC)"
1,Talk:Odysseus,Auntof6,Haoreima,1,"07:41, 1 August 2021 (UTC)"
1,Talk:Odysseus,Haoreima,Auntof6|Eptalon,2,"08:24, 1 August 2021 (UTC)"
1,Talk:Odysseus,Haoreima,Auntof6,1,"08:29, 1 August 2021 (UTC)"
3,User talk:Runningblader/Wikiproject Anti-Vandalism,Ferien,Haumeon,1,"20:22, 12 August 2024 (UTC)"
3,User talk:Runningblader/Wikiproject Anti-Vandalism,Ferien,Haumeon,1,"20:47, 12 August 2024 (UTC)"
3,User talk:Djsasso,Ferien,ExplorerofSpace,1,"13:10, 28 November 2025 (UTC)"
1,Talk:Sacred cow,Fylbecatulous,Macdonald-ross,1,"17:21, 30 October 2016 (UTC)"
1,Talk:British Columbia,ImprovedWikiImprovment,Thegooduser,1,"01:51, 29 May 2020 (UTC)"
1,Talk:Main Page/Other languages,Ferien,OurRisingTide,1,"12:49, 22 July 2024 (UTC)"
3,User talk:Derpdart56/WikiProject Video games,Lights and freedom,Hockeycatcat|MrMeAndMrMe,2,"05:23, 30 July 2022 (UTC)"
3,User talk:Derpdart56/WikiProject Video games,Hockeycatcat,Lights and freedom|MrMeAndMrMe,2,"06:22, 30 July 2022 (UTC)"
1,Talk:Ana Ivanović,つがる,Eptalon,1,"02:01, 15 April 2021 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,BozMo,1,"13:50, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,BozMo,Jeff G.,1,"09:04, 15 November 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,BozMo,1,"23:27, 15 November 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Aryan121,1,"13:46, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Shevchenko777,1,"13:42, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Dikshamodi,1,"13:26, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Wikinow19,Arjayay,1,"09:03, 7 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Arjayay|Wikinow19,2,"13:20, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Shegoessailing,1,"13:09, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Hermano Lobo,1,"12:50, 23 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,JCORYB,1,"03:17, 29 March 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Chris griffiths,1,"23:44, 15 November 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Mathew888,1,"23:52, 15 November 2017 (UTC)"
5,Wikipedia talk:Contact us,Jeff G.,Donmajeski,1,"00:15, 16 November 2017 (UTC)"
5,Wikipedia talk:Contact us,Zhangj1079,Stonemountainfox,1,"12:25, 8 September 2017 (UTC)"
5,Wikipedia talk:Contact us,Zhangj1079,Mjgcards,1,"01:42, 8 September 2017 (UTC)"
5,Wikipedia talk:Contact us,BRPever,Devkanojiax,1,"16:20, 17 July 2018 (UTC)"
5,Wikipedia talk:Contact us,Naddruf,Choudhary Tejas,1,"02:11, 12 August 2020 (UTC)"
5,Wikipedia talk:Contact us,つがる,Rone83,1,"00:44, 27 June 2021 (UTC)"
5,Wikipedia talk:Changing username,StraussInTheHouse,Gonzaloariascontreras,1,"18:48, 26 December 2017 (UTC)"
1,Talk:Human,Rsk6400,Macdonald-ross,1,"12:44, 29 June 2020 (UTC)"
1,Talk:Human,Rsk6400,Macdonald-ross,1,"07:03, 30 June 2020 (UTC)"
